fipscode,state,year,density,providers,Total,Deployment,Supply,Demand,HHINC,percent_male,percent_white,percent_black,lowed,region,unemploymentrate,typography,slope,road
1001,Alabama,2008.0,0.001180361131976,9.4,18.4,0.0,9.75,3.5,44194,0.485631698481521,0.795071043790003,0.178125645212756,0: Not low-education type,3: South,3.3,14: Open hills,,
1001,Alabama,2004.0,0.001180361131976,3.7,18.4,0.0,9.75,3.5,44194,0.486126617872059,0.804139271388992,0.173530992846214,0: Not low-education type,3: South,3.3,14: Open hills,,
1003,Alabama,2004.0,0.0015287557990292,2.8,18.4,0.0,9.75,3.5,41909,0.489850639294536,0.877580535753139,0.0991130508235957,0: Not low-education type,3: South,3.5,4: Irregular plains,,
1003,Alabama,2008.0,0.0015287557990292,10.047619047619,18.4,0.0,9.75,3.5,41909,0.487962599600744,0.87774915115426,0.094911475484425,0: Not low-education type,3: South,3.5,4: Irregular plains,,
1005,Alabama,2008.0,0.000461274539178374,7.875,18.4,0.0,9.75,3.5,25962,0.531285960874568,0.512118814729574,0.469972669735328,1: Low-education type,3: South,5.1,4: Irregular plains,,
1005,Alabama,2004.0,0.000461274539178374,3.25,18.4,0.0,9.75,3.5,25962,0.525117545162089,0.512779722133842,0.471099798494008,1: Low-education type,3: South,5.1,4: Irregular plains,,
1007,Alabama,2004.0,0.000483571797869776,3.1,18.4,0.0,9.75,3.5,32858,0.520878412596105,0.770176327056765,0.220339763362644,1: Low-education type,3: South,3.9,14: Open hills,,
1007,Alabama,2008.0,0.000483571797869776,7.81818181818182,18.4,0.0,9.75,3.5,32858,0.530279674080599,0.766086765029729,0.221184761065845,1: Low-education type,3: South,3.9,14: Open hills,,
1009,Alabama,2008.0,0.0012416785933774,7.9375,18.4,0.0,9.75,3.5,37659,0.497029182367891,0.966365787398125,0.0152659714310753,0: Not low-education type,3: South,3.1,14: Open hills,,
1009,Alabama,2004.0,0.0012416785933774,3.8,18.4,0.0,9.75,3.5,37659,0.497616584140123,0.967352745547262,0.0160741999852191,0: Not low-education type,3: South,3.1,14: Open hills,,
1011,Alabama,2008.0,0.000241089109600782,7.83333333333333,18.4,0.0,9.75,3.5,20808,0.54386925956359,0.265406737880033,0.710581575823975,1: Low-education type,3: South,8.3,4: Irregular plains,,
1011,Alabama,2004.0,0.000241089109600782,2.33333333333333,18.4,0.0,9.75,3.5,20808,0.536541244573082,0.264743125904486,0.719337916063676,1: Low-education type,3: South,8.3,4: Irregular plains,,
1013,Alabama,2008.0,0.000360936875067066,7.85714285714286,18.4,0.0,9.75,3.5,26880,0.46847104873741,0.547854312855029,0.435247505847534,0: Not low-education type,3: South,5.6,4: Irregular plains,,
1013,Alabama,2004.0,0.000360936875067066,2.33333333333333,18.4,0.0,9.75,3.5,26880,0.47024436990896,0.570148538572113,0.418543363679923,0: Not low-education type,3: South,5.6,4: Irregular plains,,
1015,Alabama,2008.0,0.0026101728455622,9.57142857142857,18.4,0.0,9.75,3.5,33066,0.48145368964988,0.767493221003803,0.205254361580572,0: Not low-education type,3: South,3.9,15: Open high hills,,
1015,Alabama,2004.0,0.0026101728455622,3.78571428571429,18.4,0.0,9.75,3.5,33066,0.48099804339779,0.78147749907458,0.195977507888104,0: Not low-education type,3: South,3.9,15: Open high hills,,
1017,Alabama,2004.0,0.000804094891558676,2.8,18.4,0.0,9.75,3.5,30767,0.476130051039111,0.600569607760201,0.387812649804021,1: Low-education type,3: South,5.0,"5: Tablelands, moderate relief",,
1017,Alabama,2008.0,0.000804094891558676,8.9,18.4,0.0,9.75,3.5,30767,0.478112432369875,0.593351271591008,0.390996151954402,1: Low-education type,3: South,5.0,"5: Tablelands, moderate relief",,
1019,Alabama,2008.0,0.000617355350018186,10.2,18.4,0.0,9.75,3.5,32089,0.497269464815104,0.931541582150101,0.0486035262911531,1: Low-education type,3: South,3.8,9: Plains with hills,,
1019,Alabama,2004.0,0.000617355350018186,3.6,18.4,0.0,9.75,3.5,32089,0.491300679069394,0.932896693052598,0.0515932012697392,1: Low-education type,3: South,3.8,9: Plains with hills,,
1021,Alabama,2004.0,0.00085426372361433,3.0,18.4,0.0,9.75,3.5,34109,0.491813935570858,0.883059661963692,0.103216641787451,1: Low-education type,3: South,3.4,14: Open hills,,
1021,Alabama,2008.0,0.00085426372361433,7.92857142857143,18.4,0.0,9.75,3.5,34109,0.493975346330859,0.882259071671408,0.0998635491107565,1: Low-education type,3: South,3.4,14: Open hills,,
1023,Alabama,2008.0,0.000214611114904742,5.11111111111111,18.4,0.0,9.75,3.5,26707,0.479878135184923,0.552784469321241,0.440980586651552,1: Low-education type,3: South,5.7,13: Open low hills,,
1023,Alabama,2004.0,0.000214611114904742,2.0,18.4,0.0,9.75,3.5,26707,0.475485599464166,0.555927662424648,0.438312123241795,1: Low-education type,3: South,5.7,13: Open low hills,,
1025,Alabama,2004.0,0.000295438677661073,2.66666666666667,18.4,0.0,9.75,3.5,28555,0.474219155723718,0.557200089027376,0.432969804881668,0: Not low-education type,3: South,5.6,14: Open hills,,
1025,Alabama,2008.0,0.000295438677661073,6.55555555555556,18.4,0.0,9.75,3.5,28555,0.474717498002511,0.549404558079367,0.438306129437279,0: Not low-education type,3: South,5.6,14: Open hills,,
1027,Alabama,2008.0,0.000319129515020688,7.7,18.4,0.0,9.75,3.5,29374,0.489089753548478,0.825718522703199,0.154579478850364,1: Low-education type,3: South,4.3,15: Open high hills,,
1027,Alabama,2004.0,0.000319129515020688,3.33333333333333,18.4,0.0,9.75,3.5,29374,0.487784151264075,0.831810778273493,0.153317753700163,1: Low-education type,3: South,4.3,15: Open high hills,,
1029,Alabama,2004.0,0.000367904768408129,3.14285714285714,18.4,0.0,9.75,3.5,32735,0.497524234604924,0.950135992747054,0.037799009693842,1: Low-education type,3: South,3.4,15: Open high hills,,
1029,Alabama,2008.0,0.000367904768408129,6.85714285714286,18.4,0.0,9.75,3.5,32735,0.49811752050558,0.950248756218905,0.0348258706467662,1: Low-education type,3: South,3.4,15: Open high hills,,
1031,Alabama,2004.0,0.000979685803753465,3.0,18.4,0.0,9.75,3.5,35651,0.491110469891017,0.778882649324129,0.177524249217588,0: Not low-education type,3: South,3.4,4: Irregular plains,,
1031,Alabama,2008.0,0.000979685803753465,7.92857142857143,18.4,0.0,9.75,3.5,35651,0.494208096298128,0.775847143210487,0.172520405639377,0: Not low-education type,3: South,3.4,4: Irregular plains,,
1033,Alabama,2008.0,0.001284879532092,9.11111111111111,18.4,0.0,9.75,3.5,33469,0.479778973069227,0.81678996934261,0.16107062214308,0: Not low-education type,3: South,4.7,14: Open hills,,
1033,Alabama,2004.0,0.001284879532092,3.33333333333333,18.4,0.0,9.75,3.5,33469,0.481206325855094,0.819143067304156,0.163001103346819,0: Not low-education type,3: South,4.7,14: Open hills,,
1035,Alabama,2008.0,0.000214611114904742,8.1,18.4,0.0,9.75,3.5,23622,0.487600836570063,0.521138332835375,0.464595159844637,1: Low-education type,3: South,5.4,4: Irregular plains,,
1035,Alabama,2004.0,0.000214611114904742,3.0,18.4,0.0,9.75,3.5,23622,0.480789277736411,0.538719285182427,0.449590469099032,1: Low-education type,3: South,5.4,4: Irregular plains,,
1037,Alabama,2008.0,0.000231334058923293,9.0,18.4,0.0,9.75,3.5,29735,0.492647698599147,0.661620116592709,0.322196119377012,1: Low-education type,3: South,4.4,15: Open high hills,,
1037,Alabama,2004.0,0.000231334058923293,3.0,18.4,0.0,9.75,3.5,29735,0.499826989619377,0.656401384083045,0.330882352941176,1: Low-education type,3: South,4.4,15: Open high hills,,
1039,Alabama,2004.0,0.000498901163220114,2.0,18.4,0.0,9.75,3.5,28593,0.482312666413085,0.860403195131229,0.122751725262186,0: Not low-education type,3: South,3.9,4: Irregular plains,,
